cover,title,author,"avg rating",rating,shelves,"date read","date added",""
"",Exodus,"Uris, Leon",4.34,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","Jan 12, 2017 [edit]","Dec 22, 2016","edit view »"
"","The Simpsons and Their Mathematical Secrets","Singh, Simon",3.88,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","Sep 11, 2014 [edit]","Oct 08, 2013","edit view »"
"","First Raj of the Sikhs: The Life and Times of Banda Singh Bahadur","Dhillon, Harish",3.96,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Jun 24, 2014 [edit]","Jun 24, 2014","edit view »"
"","The Secret of the Nagas (The Shiva Trilogy, #2)","Tripathi, Amish *",4.08,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , 2014 [edit]","May 13, 2014 [edit]","May 13, 2014","edit view »"
"","The Immortals of Meluha (Shiva Trilogy, #1)","Tripathi, Amish *",4.12,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","May 08, 2014 [edit]","May 08, 2014","edit view »"
"","The Billionaire's Apprentice: The Rise of The Indian-American Elite and The Fall of The Galleon Hedge Fund","Raghavan, Anita",4.17,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 , favourites [edit]","May 02, 2014 [edit]","Nov 29, 2013","edit view »"
"","Religion and Science","Russell, Bertrand",3.96,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Apr 08, 2014 [edit]","Dec 19, 2013","edit view »"
"","Big Bang: The Origin of the Universe","Singh, Simon",4.20,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Apr 03, 2014 [edit]","Dec 19, 2013","edit view »"
"","Wings of Fire: An Autobiography","Kalam, A.P.J. Abdul",4.25,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 , favourites [edit]","Mar 27, 2014 [edit]","Mar 27, 2014","edit view »"
"","Indian Summer: The Secret History of the End of an Empire","Tunzelmann, Alex von",4.06,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Mar 24, 2014 [edit]","Dec 19, 2013","edit view »"
"","iCon: Steve Jobs, the Greatest Second Act in the History of Business","Young, Jeffrey S.",4.03,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , 2014 [edit]","Feb 2014 [edit]","Dec 19, 2013","edit view »"
"","Chaos: Making a New Science","Gleick, James *",4.03,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Feb 2014 [edit]","Jan 19, 2014","edit view »"
"",Mastery,"Greene, Robert *",4.25,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , 2014 [edit]","Jan 23, 2014 [edit]","Jan 19, 2014","edit view »"
"","The Art of War","Sun Tzu",3.97,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","Dec 19, 2013 [edit]","Jan 27, 2013","edit view »"
"","Don't Go Back to Where You Came From","Soutphommasane, Tim",3.96,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , books-read-in-2013 [edit]","Nov 17, 2013 [edit]","Mar 03, 2013","edit view »"
"","Bhagat Singh: Select Speeches and Writings","Singh, Bhagat",4.03,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Nov 10, 2013 [edit]","Nov 10, 2013","edit view »"
"","The Snowball: Warren Buffett and the Business of Life","Schroeder, Alice",4.12,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 , favourites [edit]","Oct 28, 2013 [edit]","Oct 28, 2013","edit view »"
"","The Boy Kings: A Journey into the Heart of the Social Network","Losse, Katherine",3.31,"[ 1 of 5 stars ] 2 of 5 stars 3 of 5 stars 4 of 5 stars 5 of 5 stars","read , books-read-in-2013 [edit]","Oct 08, 2013 [edit]","Oct 08, 2013","edit view »"
"","The Sixteenth Round: From Number 1 Contender to Number 45472","Carter, Rubin",4.31,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Oct 03, 2013 [edit]","Oct 03, 2013","edit view »"
"","The Rise and Rise of Kerry Packer Uncut","Barry, Paul",3.91,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Oct 2013 [edit]","Sep 25, 2013","edit view »"
"","Dongri To Dubai : Six Decades of The Mumbai Mafia","Zaidi, S. Hussain *",3.94,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , books-read-in-2013 [edit]","Sep 03, 2013 [edit]","Dec 26, 2012","edit view »"
"","Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground","Poulsen, Kevin",3.96,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , books-read-in-2013 [edit]","Aug 28, 2013 [edit]","Aug 28, 2013","edit view »"
"","The Fugitive Game: Online with Kevin Mitnick","Littman, Jonathan",3.85,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , books-read-in-2013 [edit]","Aug 22, 2013 [edit]","Aug 22, 2013","edit view »"
"","Beyond the Giant Personal Insight into the life of JRD Tata","Pendse, D.R.",3.70,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , books-read-in-2013 , favourites [edit]","Aug 19, 2013 [edit]","Aug 19, 2013","edit view »"
"","The Third Chimpanzee: The Evolution and Future of the Human Animal","Diamond, Jared",4.07,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 , favourites [edit]","Jul 25, 2013 [edit]","Jul 25, 2013","edit view »"
"","The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography","Singh, Simon",4.28,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Jul 11, 2013 [edit]","Jul 09, 2013","edit view »"
"","Just for Fun: The Story of an Accidental Revolutionary","Torvalds, Linus",3.95,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 , favourites [edit]","Jun 27, 2013 [edit]","Jun 27, 2013","edit view »"
"","Mahatma Gandhi and His Myths: Civil Disobedience, Nonviolence, and Satyagraha in the Real World","Shepard, Mark *",3.64,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read , books-read-in-2013 [edit]","Feb 04, 2013 [edit]","Jan 28, 2013","edit view »"
"","Books I Have Loved",Osho,4.40,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Jan 26, 2013 [edit]","Jan 26, 2013","edit view »"
"","The Autobiography of Martin Luther King, Jr.","King Jr., Martin Luther",4.29,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 , favourites [edit]","Jan 14, 2013 [edit]","Jan 09, 2013","edit view »"
"","The Guide","Narayan, R.K.",3.93,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Jan 09, 2013 [edit]","Jan 06, 2013","edit view »"
"","Life Behind the Lobby: Indian American Motel Owners and the American Dream","Dhingra, Pawan",3.75,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read , books-read-in-2013 [edit]","Jan 07, 2013 [edit]","Nov 28, 2012","edit view »"
"","Life of Pi","Martel, Yann",3.93,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , books-read-in-2013 [edit]","Jan 03, 2013 [edit]","Dec 05, 2012","edit view »"
"","Thinking, Fast and Slow","Kahneman, Daniel",4.17,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read , favourites [edit]","Dec 27, 2012 [edit]","Oct 22, 2012","edit view »"
"","Life Without Limits","Vujicic, Nick",4.13,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","Oct 22, 2012 [edit]","Oct 18, 2012","edit view »"
"","Boomerang: Travels in the New Third World","Lewis, Michael",3.90,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","Oct 18, 2012 [edit]","Oct 16, 2012","edit view »"
"","Liar's Poker","Lewis, Michael",4.14,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","Oct 16, 2012 [edit]","Oct 09, 2012","edit view »"
"","Breaking the Spell","Stork, Jane",4.02,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","Oct 09, 2012 [edit]","Oct 07, 2012","edit view »"
